级别	日期和时间	来源	事件 ID	任务类别
信息	2018/11/28 23:44:34	Microsoft-Windows-Kernel-Power	107	(102)	系统已从睡眠状态恢复。
信息	2018/11/29 22:00:02	EventLog	6013	无	系统启动时间为 252784 秒。
信息	2018/11/28 23:44:32	Microsoft-Windows-Kernel-Power	42	(64)	"系统正在进入睡眠状态。

睡眠原因: Application API"
信息	2018/11/28 23:44:29	Microsoft-Windows-Winlogon	7002	(1102)	客户体验改善计划的用户注销通知
警告	2018/11/28 23:44:28	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:43:40	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:43:29	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:43:01	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:42:52	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:42:31	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
